userName,at,content,score,thumbsUpCount,content_processed_FINAL,tokenize_review,no_symbol,label
YT•RIZ GANT OFFICIAL,10/21/2025 15:36,game nya susah banget anj cuman buat login bikin akun di persulit game konfl,1,0,game susah banget anjing cuman login akun sulit game konfl,"['game', 'susah', 'banget', 'anjing', 'cuman', 'login', 'akun', 'sulit', 'game', 'konfl']","['game', 'susah', 'banget', 'anjing', 'cuman', 'login', 'akun', 'sulit', 'game', 'konfl']",negative
Muhamad Rayhan Al Fazry,10/6/2025 14:29,game hebat,5,0,game hebat,"['game', 'hebat']","['game', 'hebat']",positive
muhammad ridho official,10/21/2025 14:42,not good,1,0,not good,"['not', 'good']","['not', 'good']",negative
Fatur Rahman,10/21/2025 13:56,bagus,5,0,bagus,['bagus'],['bagus'],positive
rmdn ballboy,10/21/2025 13:23,"i really love this game but i'm always disappointed with the system. i can't log in using data/wifi, it often disconnects, and i get banned for no reason.",1,0,really love this game but im always disappointed with the system cant login in using datawifi it often disconnects and get banned for no reason,"['really', 'love', 'this', 'game', 'but', 'im', 'always', 'disappointed', 'with', 'the', 'system', 'cant', 'login', 'in', 'using', 'datawifi', 'it', 'often', 'disconnects', 'and', 'get', 'banned', 'for', 'no', 'reason']","['really', 'love', 'this', 'game', 'but', 'im', 'always', 'disappointed', 'with', 'the', 'system', 'cant', 'login', 'in', 'using', 'datawifi', 'it', 'often', 'disconnects', 'and', 'get', 'banned', 'for', 'no', 'reason']",negative
kaji erorr,10/21/2025 12:55,geme anj,5,0,geme anjing,"['geme', 'anjing']","['geme', 'anjing']",positive
Achmad Sayy,10/21/2025 12:13,ini game susah banget dh masuk nya harus bnyak sabar masuk doang ke dalam game susah bangeetttttt,1,0,game susah banget masuk bnyak sabar masuk doang game susah bangeetttttt,"['game', 'susah', 'banget', 'masuk', 'bnyak', 'sabar', 'masuk', 'doang', 'game', 'susah', 'bangeetttttt']","['game', 'susah', 'banget', 'masuk', 'bnyak', 'sabar', 'masuk', 'doang', 'game', 'susah', 'bangeetttttt']",negative
Fubuki,10/21/2025 11:51,banyak player casino dan bot,1,1,player casino bot,"['player', 'casino', 'bot']","['player', 'casino', 'bot']",negative
Natalia Nini,10/21/2025 11:46,i love gt,5,0,love,['love'],['love'],positive
cecok deps,10/21/2025 11:26,"gamenya suka ngeban orang tanpa alasan yang jelas, mohon perbaiki",1,0,gamenya suka ngeban orang alas mohon baik,"['gamenya', 'suka', 'ngeban', 'orang', 'alas', 'mohon', 'baik']","['gamenya', 'suka', 'ngeban', 'orang', 'alas', 'mohon', 'baik']",negative
Aditya Pernando,10/21/2025 10:41,game rusak banyak bot ketimbang player. player yang asli malah kaga di urus,1,0,game rusak bot ketimbang player player asli kaga urus,"['game', 'rusak', 'bot', 'ketimbang', 'player', 'player', 'asli', 'kaga', 'urus']","['game', 'rusak', 'bot', 'ketimbang', 'player', 'player', 'asli', 'kaga', 'urus']",negative
kyandra anjayy,10/21/2025 8:13,"bro i hate this game, i can't login, when i try to login it's say ""try to login again"" tf u mean i already try 1000x cmon bruh fix this dumb ahh game",1,0,bro hate this game cant login when try to login its say try to login again tf mean already try cmon bruh fix this dumb ahh game,"['bro', 'hate', 'this', 'game', 'cant', 'login', 'when', 'try', 'to', 'login', 'its', 'say', 'try', 'to', 'login', 'again', 'tf', 'mean', 'already', 'try', 'cmon', 'bruh', 'fix', 'this', 'dumb', 'ahh', 'game']","['bro', 'hate', 'this', 'game', 'cant', 'login', 'when', 'try', 'to', 'login', 'its', 'say', 'try', 'to', 'login', 'again', 'tf', 'mean', 'already', 'try', 'cmon', 'bruh', 'fix', 'this', 'dumb', 'ahh', 'game']",negative
Bapak Gue,10/21/2025 7:53,"game ini mempunyai sistem banned yang buruk bayangin aja lagi enak enak jual world tiba tiba akun ke suspend dengan alasan ""spamming"" padahal saya cuma ngetik setiap 30 detik sekali enggak nyepam,terus pas hubungin cs katanya ""ban ini valid"" valid dari hongkong",1,0,game sistem banned buruk bayangin enak enak jual world akun suspend alas spamming ngetik detik nyepamterus pas hubungin cs ban valid valid hongkong,"['game', 'sistem', 'banned', 'buruk', 'bayangin', 'enak', 'enak', 'jual', 'world', 'akun', 'suspend', 'alas', 'spamming', 'ngetik', 'detik', 'nyepamterus', 'pas', 'hubungin', 'cs', 'ban', 'valid', 'valid', 'hongkong']","['game', 'sistem', 'banned', 'buruk', 'bayangin', 'enak', 'enak', 'jual', 'world', 'akun', 'suspend', 'alas', 'spamming', 'ngetik', 'detik', 'nyepamterus', 'pas', 'hubungin', 'cs', 'ban', 'valid', 'valid', 'hongkong']",negative
Aflaha Mukmin S,10/21/2025 7:31,terkena ban tanpa alasan.,1,0,kena ban alas,"['kena', 'ban', 'alas']","['kena', 'ban', 'alas']",negative
Faiz Naufal,10/21/2025 4:58,server not godd,1,0,server not godd,"['server', 'not', 'godd']","['server', 'not', 'godd']",negative
Zaidan,10/21/2025 2:25,server jembot,1,0,server jembot,"['server', 'jembot']","['server', 'jembot']",negative
Mohamad Sudar,10/21/2025 2:14,"semakin lama, semakin gak bisa login gak ngerti lagi sama ubisoft apa indonesia sudah tidak boleh memainkan growtopia? padahal dulu lancar-lancar saja jika mau bermain growtopia kenapa sekarang susah banget ya",1,0,login ngerti ubisoft indonesia main lancarlancar main susah banget,"['login', 'ngerti', 'ubisoft', 'indonesia', 'main', 'lancarlancar', 'main', 'susah', 'banget']","['login', 'ngerti', 'ubisoft', 'indonesia', 'main', 'lancarlancar', 'main', 'susah', 'banget']",negative
Abraham Panjaitan,10/21/2025 2:00,saya menonton iklan 3x untuk pet battle heal dan saya tidak mendapat kan reward nya,1,8,tonton iklan pet battle heal reward,"['tonton', 'iklan', 'pet', 'battle', 'heal', 'reward']","['tonton', 'iklan', 'pet', 'battle', 'heal', 'reward']",negative
Iyan_7,10/20/2025 20:09,streess pas log drama mulu,1,0,streess pas login drama mulu,"['streess', 'pas', 'login', 'drama', 'mulu']","['streess', 'pas', 'login', 'drama', 'mulu']",negative
Lili Indrawati,10/20/2025 19:35,server nyaa tolong do perbaiki lagi sama bot spam nya banyak banget tambah mods kalo bisaa yaa,1,2,server nyaa tolong do baik bot spam banget mods bisaa yaa,"['server', 'nyaa', 'tolong', 'do', 'baik', 'bot', 'spam', 'banget', 'mods', 'bisaa', 'yaa']","['server', 'nyaa', 'tolong', 'do', 'baik', 'bot', 'spam', 'banget', 'mods', 'bisaa', 'yaa']",negative
Arfianto Prastyo Wibowo,10/20/2025 15:52,"udahlah pake login kek dulu aja, sekarang malah dipersulit mau login aja dipersulit.",1,0,udahlah login sulit login sulit,"['udahlah', 'login', 'sulit', 'login', 'sulit']","['udahlah', 'login', 'sulit', 'login', 'sulit']",negative
Muhammad Syafiq,10/20/2025 15:34,"gamenya bagus sih,yang bikin jelek ya karena banyak botnya aja.",5,0,gamenya bagus sihyang jelek bot,"['gamenya', 'bagus', 'sihyang', 'jelek', 'bot']","['gamenya', 'bagus', 'sihyang', 'jelek', 'bot']",positive
Tito Arroshid,10/20/2025 15:30,"sangat memorable, tapi tolong servernya lebih dimantapkan lagi🙌🏻",4,0,memorable tolong servernya mantap,"['memorable', 'tolong', 'servernya', 'mantap']","['memorable', 'tolong', 'servernya', 'mantap']",positive
Mhmmd brizqyaja,10/20/2025 15:08,good,5,0,good,['good'],['good'],positive
Erlan Mnwr,10/20/2025 13:38,fix ur server,1,0,fix ur server,"['fix', 'ur', 'server']","['fix', 'ur', 'server']",negative
Smug Hatt,10/20/2025 13:04,game burik loading lama bgt dongoo dongo,1,0,game burik loading banget dongoo dongo,"['game', 'burik', 'loading', 'banget', 'dongoo', 'dongo']","['game', 'burik', 'loading', 'banget', 'dongoo', 'dongo']",negative
Mondes.co. id,10/20/2025 12:49,dead game bad server bruh,1,6,dead game bad server bruh,"['dead', 'game', 'bad', 'server', 'bruh']","['dead', 'game', 'bad', 'server', 'bruh']",negative
Wendy,10/20/2025 12:48,game tolollllll,1,2,game tolollllll,"['game', 'tolollllll']","['game', 'tolollllll']",negative
LHUTFI SHORT,10/20/2025 12:28,susah login,1,1,susah login,"['susah', 'login']","['susah', 'login']",negative
athayanurul hidayah,10/20/2025 11:34,enak banget game-nya,5,0,enak banget gamenya,"['enak', 'banget', 'gamenya']","['enak', 'banget', 'gamenya']",positive
Nicho Nicholas ryan putra,10/20/2025 10:25,saya suka game ini😁😁,5,0,suka game,"['suka', 'game']","['suka', 'game']",positive
about 23,10/20/2025 8:58,"bad game , this game its not for fun , system banned player no reason , so dont waste your time , gl",1,0,bad game this game its not for fun system banned player no reason so dont waste your time gl,"['bad', 'game', 'this', 'game', 'its', 'not', 'for', 'fun', 'system', 'banned', 'player', 'no', 'reason', 'so', 'dont', 'waste', 'your', 'time', 'gl']","['bad', 'game', 'this', 'game', 'its', 'not', 'for', 'fun', 'system', 'banned', 'player', 'no', 'reason', 'so', 'dont', 'waste', 'your', 'time', 'gl']",negative
David napu,10/20/2025 8:43,perbaiki lagi server,5,0,baik server,"['baik', 'server']","['baik', 'server']",positive
PUTRA Rizky,10/6/2025 14:28,mantap game bagus tapi lag banyak bot dan tiba² aku kena ban nyasar untung ke unban game nya bagus,4,1,mantap game bagus lag bot kena ban nyasar untung unban game bagus,"['mantap', 'game', 'bagus', 'lag', 'bot', 'kena', 'ban', 'nyasar', 'untung', 'unban', 'game', 'bagus']","['mantap', 'game', 'bagus', 'lag', 'bot', 'kena', 'ban', 'nyasar', 'untung', 'unban', 'game', 'bagus']",positive
Ammar 999,10/20/2025 8:18,gamenya lumayan seru,5,0,gamenya lumayan seru,"['gamenya', 'lumayan', 'seru']","['gamenya', 'lumayan', 'seru']",positive
DA Bz,10/20/2025 7:25,game burik masa windah di ban,1,0,game burik windah ban,"['game', 'burik', 'windah', 'ban']","['game', 'burik', 'windah', 'ban']",negative
3_Bharyo Arriq Valiant_331,10/20/2025 7:25,"gem tolol masuk aja dipersulit,entah using vpn ,error connection,ban temporary,please try again kah,ip keblokir ada aja masalahnya.",1,1,game tolol masuk dipersulitentah using vpn error connectionban temporaryplease try again kahip blokir,"['game', 'tolol', 'masuk', 'dipersulitentah', 'using', 'vpn', 'error', 'connectionban', 'temporaryplease', 'try', 'again', 'kahip', 'blokir']","['game', 'tolol', 'masuk', 'dipersulitentah', 'using', 'vpn', 'error', 'connectionban', 'temporaryplease', 'try', 'again', 'kahip', 'blokir']",negative
Ness Rmx,10/20/2025 7:08,developer taii game samapah delete aja asuu,1,0,developer taii game samapah delete asuu,"['developer', 'taii', 'game', 'samapah', 'delete', 'asuu']","['developer', 'taii', 'game', 'samapah', 'delete', 'asuu']",negative
Saskia M sabri,10/20/2025 6:32,bad game,1,0,bad game,"['bad', 'game']","['bad', 'game']",negative
LiiKu,10/20/2025 6:30,buruk dari segi banyak hal. contoh kecil server terlalu buruk,1,0,buruk segi contoh server buruk,"['buruk', 'segi', 'contoh', 'server', 'buruk']","['buruk', 'segi', 'contoh', 'server', 'buruk']",negative
Nathan Store,10/20/2025 5:37,game ta1 kebanyakan bot update terus tapi ga pernah ilangin bot,1,0,game ta banyak bot update ilangin bot,"['game', 'ta', 'banyak', 'bot', 'update', 'ilangin', 'bot']","['game', 'ta', 'banyak', 'bot', 'update', 'ilangin', 'bot']",negative
Rei Gunawan,10/20/2025 2:45,"mau login aja ribet bgt harus sering login usher name pass, trus disuruh check connection jgn pake vpn pdhl ga ad pake. mau main aja ribet bgt",1,0,login ribet banget login usher name pass trus suruh check connection jgn vpn pdhl ad main ribet banget,"['login', 'ribet', 'banget', 'login', 'usher', 'name', 'pass', 'trus', 'suruh', 'check', 'connection', 'jgn', 'vpn', 'pdhl', 'ad', 'main', 'ribet', 'banget']","['login', 'ribet', 'banget', 'login', 'usher', 'name', 'pass', 'trus', 'suruh', 'check', 'connection', 'jgn', 'vpn', 'pdhl', 'ad', 'main', 'ribet', 'banget']",negative
Dani Satria,10/20/2025 1:43,"server dh penuh sama bot semua, bahkan trader pun ga sampe 10k gw liat2 di semua trade world plis admin bantu bot singkirin semua bot cuy demi kenyamanan bersama. gw mau login aja susah nya minta ampun padahal sepele bgt cuma mau farming/massing farmable item, gmn mau famous klo isinya bot semua dan itu yg bikin currency gt menurun plis perbaiki growtopia kek dlu🙏",1,0,server penuh bot trader sampe liat trade world plis bantu bot singkirin bot nyaman login susah ampun sepele banget farmingmassing farmable item gmn famous isi bot currency turun plis baik dlu,"['server', 'penuh', 'bot', 'trader', 'sampe', 'liat', 'trade', 'world', 'plis', 'bantu', 'bot', 'singkirin', 'bot', 'nyaman', 'login', 'susah', 'ampun', 'sepele', 'banget', 'farmingmassing', 'farmable', 'item', 'gmn', 'famous', 'isi', 'bot', 'currency', 'turun', 'plis', 'baik', 'dlu']","['server', 'penuh', 'bot', 'trader', 'sampe', 'liat', 'trade', 'world', 'plis', 'bantu', 'bot', 'singkirin', 'bot', 'nyaman', 'login', 'susah', 'ampun', 'sepele', 'banget', 'farmingmassing', 'farmable', 'item', 'gmn', 'famous', 'isi', 'bot', 'currency', 'turun', 'plis', 'baik', 'dlu']",negative
soul land,10/20/2025 0:28,"server ancur, suka suspen player legal, kalo ga niat ngurus game mending jual ke pihak lain aja yang lebih bertanggung jawab",1,0,server ancur suka suspen player legal niat ngurus game mending jual tanggung,"['server', 'ancur', 'suka', 'suspen', 'player', 'legal', 'niat', 'ngurus', 'game', 'mending', 'jual', 'tanggung']","['server', 'ancur', 'suka', 'suspen', 'player', 'legal', 'niat', 'ngurus', 'game', 'mending', 'jual', 'tanggung']",negative
TheDhaniBro,10/19/2025 23:49,"sering bermasalah dari server maupun gameplay. entah kenapa sering dc, ngelag, dan kena pelanggaran vpn padahal aku gak makek vpn sama sekali.",1,15,masalah server gameplay dc ngelag kena langgar vpn makek vpn,"['masalah', 'server', 'gameplay', 'dc', 'ngelag', 'kena', 'langgar', 'vpn', 'makek', 'vpn']","['masalah', 'server', 'gameplay', 'dc', 'ngelag', 'kena', 'langgar', 'vpn', 'makek', 'vpn']",negative
FARRE L,10/19/2025 17:49,"i just logged in, why is it taking so long?",1,0,just logged in why is it taking so long,"['just', 'logged', 'in', 'why', 'is', 'it', 'taking', 'so', 'long']","['just', 'logged', 'in', 'why', 'is', 'it', 'taking', 'so', 'long']",negative
Jonson Oppo,10/19/2025 16:54,akun udah lama gk dimainin pas on mlh dh ke ban dasar game gajelasss udah hapus aja tu game,1,0,akun udah dimainin pas on mlh ban dasar game gajelasss udah hapus tu game,"['akun', 'udah', 'dimainin', 'pas', 'on', 'mlh', 'ban', 'dasar', 'game', 'gajelasss', 'udah', 'hapus', 'tu', 'game']","['akun', 'udah', 'dimainin', 'pas', 'on', 'mlh', 'ban', 'dasar', 'game', 'gajelasss', 'udah', 'hapus', 'tu', 'game']",negative
Rezii,10/19/2025 16:53,susah login pake data pake wifi aman aman aja,1,0,susah login data wifi aman aman,"['susah', 'login', 'data', 'wifi', 'aman', 'aman']","['susah', 'login', 'data', 'wifi', 'aman', 'aman']",negative
Mugen Tsukoyomi,10/19/2025 16:50,can ur back my money.. i wanna quit.. ur server is destroy..,1,2,can ur back my money wan na quit ur server is destroy,"['can', 'ur', 'back', 'my', 'money', 'wan', 'na', 'quit', 'ur', 'server', 'is', 'destroy']","['can', 'ur', 'back', 'my', 'money', 'wan', 'na', 'quit', 'ur', 'server', 'is', 'destroy']",negative
Kelvin Yy,10/19/2025 16:50,game kacau ini baru new player udah kena ban permanen.,1,0,game kacau new player udah kena ban permanen,"['game', 'kacau', 'new', 'player', 'udah', 'kena', 'ban', 'permanen']","['game', 'kacau', 'new', 'player', 'udah', 'kena', 'ban', 'permanen']",negative
Rafly Akbar,10/19/2025 16:07,super duper very very bad server,1,0,super duper very very bad server,"['super', 'duper', 'very', 'very', 'bad', 'server']","['super', 'duper', 'very', 'very', 'bad', 'server']",negative
Damar agung wicaksono,10/19/2025 16:02,server buruk,1,0,server buruk,"['server', 'buruk']","['server', 'buruk']",negative
Farid Abil,10/19/2025 15:55,idiot game server lag kontolll,1,0,idiot game server lag kontolll,"['idiot', 'game', 'server', 'lag', 'kontolll']","['idiot', 'game', 'server', 'lag', 'kontolll']",negative
ozan 12,10/19/2025 15:33,"server lag terus, dikit dikit dc, ercon",1,0,server lag dikit dikit dc ercon,"['server', 'lag', 'dikit', 'dikit', 'dc', 'ercon']","['server', 'lag', 'dikit', 'dikit', 'dc', 'ercon']",negative
Ruli Gemoy,10/19/2025 15:23,bagus tapi suka gagal login jadi kesel,2,0,bagus suka gagal login kesel,"['bagus', 'suka', 'gagal', 'login', 'kesel']","['bagus', 'suka', 'gagal', 'login', 'kesel']",negative
Linda Tandean,10/19/2025 14:44,keren,5,0,keren,['keren'],['keren'],positive
Lanapajar,10/19/2025 14:25,tutup dh ini game kebanyakan drama,1,0,tutup game banyak drama,"['tutup', 'game', 'banyak', 'drama']","['tutup', 'game', 'banyak', 'drama']",negative
Rumah Ku,10/19/2025 13:39,game yg bgs,1,0,game bgs,"['game', 'bgs']","['game', 'bgs']",negative
Naufal Firdaus,10/19/2025 13:08,masuk world ngeleg,1,0,masuk world ngeleg,"['masuk', 'world', 'ngeleg']","['masuk', 'world', 'ngeleg']",negative
Pixel Nihdeck,10/19/2025 12:46,jelek tidak memuaskan masa youtuber aja di banned padahal ga ngapa ngapain,1,0,jelek muas youtuber banned ngapa ngapain,"['jelek', 'muas', 'youtuber', 'banned', 'ngapa', 'ngapain']","['jelek', 'muas', 'youtuber', 'banned', 'ngapa', 'ngapain']",negative
Septian Harry,10/19/2025 12:36,"banyak bot, banyak scammer, banyak hackers, tidak diselesaikan oleh ubisoft. sudah main bertahun tahun membangun kerajaan akhirnya kena hack juga.. tolong keamanan akun player dan server di tingkatkan..",2,0,bot scammer hackers selesai ubisoft main tahun bangun raja kena hack tolong aman akun player server tingkat,"['bot', 'scammer', 'hackers', 'selesai', 'ubisoft', 'main', 'tahun', 'bangun', 'raja', 'kena', 'hack', 'tolong', 'aman', 'akun', 'player', 'server', 'tingkat']","['bot', 'scammer', 'hackers', 'selesai', 'ubisoft', 'main', 'tahun', 'bangun', 'raja', 'kena', 'hack', 'tolong', 'aman', 'akun', 'player', 'server', 'tingkat']",negative
Arrien Satoru,10/19/2025 12:15,oi ubi lembu lama banget maintenance ya apan dah,1,0,oi ubi lembu banget maintenance apan,"['oi', 'ubi', 'lembu', 'banget', 'maintenance', 'apan']","['oi', 'ubi', 'lembu', 'banget', 'maintenance', 'apan']",negative
Fata ID,10/19/2025 11:50,aplikasi keren game nya seru beut dah,1,0,aplikasi keren game seru beut,"['aplikasi', 'keren', 'game', 'seru', 'beut']","['aplikasi', 'keren', 'game', 'seru', 'beut']",negative
Onag Hh,10/19/2025 11:48,game yang sangat seru,5,2,game seru,"['game', 'seru']","['game', 'seru']",positive
Rkinn,10/19/2025 11:48,"permasalahan tentang login, jelek,lama,males main🙄😹😹😹",1,0,masalah login jeleklamamales main,"['masalah', 'login', 'jeleklamamales', 'main']","['masalah', 'login', 'jeleklamamales', 'main']",negative
KaDaL Pixel,10/19/2025 11:23,semangat benerin server,4,0,semangat benerin server,"['semangat', 'benerin', 'server']","['semangat', 'benerin', 'server']",positive
Endangstyaningsih,10/19/2025 10:57,"gamenya bagus,tapi saya terkena ban dua akun tanpa alasanya pls saya minto tolong",5,0,gamenya bagustapi kena ban akun alasanya pls minto tolong,"['gamenya', 'bagustapi', 'kena', 'ban', 'akun', 'alasanya', 'pls', 'minto', 'tolong']","['gamenya', 'bagustapi', 'kena', 'ban', 'akun', 'alasanya', 'pls', 'minto', 'tolong']",positive
HASSO B,10/19/2025 10:23,"trash game lol, gt its dead game in 2025",5,0,trash game lol its dead game in,"['trash', 'game', 'lol', 'its', 'dead', 'game', 'in']","['trash', 'game', 'lol', 'its', 'dead', 'game', 'in']",positive
Claim Item,10/19/2025 10:01,"hello growtopia, i want to ask something. why is it that when i want to play growtopia again after eating, a screen appears that says ""growtopia is under maintenance."" i tried logging out of my account and logging back in, but it's still the same. i tried uninstalling growtopia and downloading it, but it's still the same. what should i do?",5,0,hello want to ask something why is it that when want to play again after eating screen appears that says is under maintenance tried logging out of my account and logging back in but its still the same tried uninstalling and downloading it but its still the same what should do,"['hello', 'want', 'to', 'ask', 'something', 'why', 'is', 'it', 'that', 'when', 'want', 'to', 'play', 'again', 'after', 'eating', 'screen', 'appears', 'that', 'says', 'is', 'under', 'maintenance', 'tried', 'logging', 'out', 'of', 'my', 'account', 'and', 'logging', 'back', 'in', 'but', 'its', 'still', 'the', 'same', 'tried', 'uninstalling', 'and', 'downloading', 'it', 'but', 'its', 'still', 'the', 'same', 'what', 'should', 'do']","['hello', 'want', 'to', 'ask', 'something', 'why', 'is', 'it', 'that', 'when', 'want', 'to', 'play', 'again', 'after', 'eating', 'screen', 'appears', 'that', 'says', 'is', 'under', 'maintenance', 'tried', 'logging', 'out', 'of', 'my', 'account', 'and', 'logging', 'back', 'in', 'but', 'its', 'still', 'the', 'same', 'tried', 'uninstalling', 'and', 'downloading', 'it', 'but', 'its', 'still', 'the', 'same', 'what', 'should', 'do']",positive
Andre_ waeee,10/19/2025 10:01,kok bisa kena ban padahal gak main casino tapi alasan ke ban gara gara casino,1,0,kena ban main casino alas ban gara gara casino,"['kena', 'ban', 'main', 'casino', 'alas', 'ban', 'gara', 'gara', 'casino']","['kena', 'ban', 'main', 'casino', 'alas', 'ban', 'gara', 'gara', 'casino']",negative
Muflih Rasyid,10/19/2025 9:43,mantap game nya bagus tapi scammer banyak,1,0,mantap game bagus scammer,"['mantap', 'game', 'bagus', 'scammer']","['mantap', 'game', 'bagus', 'scammer']",negative
01. AERIO RIZKI BIMA SAPUTRA,10/19/2025 8:28,game busuk windah di ban lu begok,1,0,game busuk windah ban lu begok,"['game', 'busuk', 'windah', 'ban', 'lu', 'begok']","['game', 'busuk', 'windah', 'ban', 'lu', 'begok']",negative
Jovandi,10/19/2025 8:24,bgus la,5,0,bgus la,"['bgus', 'la']","['bgus', 'la']",positive
Riskipipit Riskipipit,10/19/2025 7:57,gamenya jelek banget,1,0,gamenya jelek banget,"['gamenya', 'jelek', 'banget']","['gamenya', 'jelek', 'banget']",negative
giordano,10/19/2025 7:53,gameny keren dan menyenangkan game ini juga mengajarkan kita banyak hal,5,0,gameny keren senang game ajar,"['gameny', 'keren', 'senang', 'game', 'ajar']","['gameny', 'keren', 'senang', 'game', 'ajar']",positive
Baca Baca,10/19/2025 7:51,susah banget mau login conection error mulu,1,3,susah banget login conection error mulu,"['susah', 'banget', 'login', 'conection', 'error', 'mulu']","['susah', 'banget', 'login', 'conection', 'error', 'mulu']",negative
Mahyu din,10/19/2025 6:18,ty for game,5,0,ty for game,"['ty', 'for', 'game']","['ty', 'for', 'game']",positive
Kluyuttt _____,10/19/2025 6:16,huuu,1,0,huuu,['huuu'],['huuu'],negative
Shinjii Hirako,10/19/2025 5:03,dev gblk gada niat perbaiki server banyak bot auto hapus aja ni game,1,0,dev gblk gada niat baik server bot auto hapus game,"['dev', 'gblk', 'gada', 'niat', 'baik', 'server', 'bot', 'auto', 'hapus', 'game']","['dev', 'gblk', 'gada', 'niat', 'baik', 'server', 'bot', 'auto', 'hapus', 'game']",negative
Agilafk,10/19/2025 4:39,gamenya sangat bagus dan menyenangkan,5,0,gamenya bagus senang,"['gamenya', 'bagus', 'senang']","['gamenya', 'bagus', 'senang']",positive
